Country,Region,Avg_Insecurity_Index,Avg_Crop_Yield,Drought_Years_Count,Climate_Vulnerability
South Africa,Sub-Saharan Africa,60.10727272727273,11.764181818181818,6,33.08909090909091
Sudan,Sub-Saharan Africa,60.06428571428572,10.260142857142858,7,32.93142857142857
Uganda,Sub-Saharan Africa,58.88428571428571,9.556571428571429,5,32.26
Kenya,Sub-Saharan Africa,58.71159420289855,10.923333333333334,4,32.005797101449275
Ethiopia,Sub-Saharan Africa,58.5625,10.567678571428571,2,31.657142857142855
Tanzania,Sub-Saharan Africa,57.39264705882353,10.641617647058823,3,31.314705882352943
Nigeria,Sub-Saharan Africa,57.361666666666665,11.639333333333333,2,31.08
Egypt,Middle East & North Africa,53.42166666666666,9.001333333333333,26,32.71333333333333
Turkey,Middle East & North Africa,45.81818181818182,9.35981818181818,14,27.314545454545453
Bangladesh,South Asia,44.22727272727273,10.792909090909092,3,24.823636363636364
India,South Asia,43.74807692307692,9.655192307692307,6,24.967307692307692
Pakistan,South Asia,42.924,11.3272,5,24.22
United States,North America,29.466071428571432,10.928392857142857,10,18.498214285714287
Thailand,Southeast Asia,27.82950819672131,11.005737704918033,8,17.28688524590164
China,East Asia,27.458000000000002,9.869399999999999,6,16.93
Mexico,North America,27.30322580645161,12.334193548387097,6,16.61774193548387
Vietnam,Southeast Asia,26.882456140350875,9.319298245614036,5,16.443859649122807
Indonesia,Southeast Asia,26.030434782608697,9.789130434782608,4,15.93913043478261
Ukraine,Europe,25.28433734939759,10.94012048192771,5,15.362650602409637
Brazil,South America,25.096363636363634,11.844363636363637,5,15.587272727272726
Australia,Oceania,25.065079365079363,9.192063492063493,4,15.25079365079365
Germany,Europe,24.819148936170212,8.441914893617021,3,15.163829787234043
France,Europe,24.64814814814815,9.213333333333333,4,15.166666666666666
Canada,North America,24.28813559322034,9.141694915254238,3,14.7
Argentina,South America,24.270967741935483,9.915161290322581,5,14.862903225806452
